1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86
15.231086	15.231086	15.231086	15.231086	15.231086	15.231086	15.231086	15.231086	15.231086	15.231086	15.231086																																																																											
14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233	14.769233																																																																					
13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769	13.309769																																																																							
	18.844518	18.844518	18.844518	18.844518	18.844518																																																																																
	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001	19.271001																																																																					
	23.867285	23.867285	23.867285	23.867285	23.867285	23.867285	23.867285	23.867285	23.867285	23.867285																																																																											
	15.575605	15.575605	15.575605	15.575605																																																																																	
	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442	17.130442																																																																		
	19.286589	19.286589	19.286589	19.286589	19.286589	19.286589	19.286589	19.286589	19.286589																																																																												
		27.71545	27.71545	27.71545																																																																																	
		23.527356	23.527356	23.527356	23.527356																																																																																
		19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382	19.779382																																																			
		17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686	17.837686																																																																
		16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863	16.565863																																																																					
		14.080613	14.080613	14.080613	14.080613	14.080613	14.080613	14.080613	14.080613	14.080613	14.080613	14.080613	14.080613																																																																								
			19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956	19.590956																																																									
			18.067044	18.067044	18.067044	18.067044	18.067044	18.067044	18.067044																																																																												
			24.820381	24.820381	24.820381	24.820381	24.820381	24.820381	24.820381	24.820381																																																																											
			47.374593	47.374593	47.374593																																																																																
			17.925641	17.925641	17.925641	17.925641	17.925641	17.925641	17.925641	17.925641	17.925641	17.925641	17.925641	17.925641																																																																							
			17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589	17.129589																																																													
			38.704676	38.704676	38.704676	38.704676	38.704676																																																																														
			20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392	20.769392																																																																		
				17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766	17.498766																																																																		
					19.939436	19.939436	19.939436	19.939436	19.939436	19.939436																																																																											
					16.012323	16.012323	16.012323	16.012323	16.012323	16.012323	16.012323	16.012323	16.012323	16.012323	16.012323	16.012323																																																																					
					18.938167	18.938167	18.938167	18.938167	18.938167	18.938167	18.938167	18.938167	18.938167	18.938167	18.938167	18.938167	18.938167																																																																				
					11.908415	11.908415																																																																															
						16.830575	16.830575	16.830575	16.830575	16.830575																																																																											
						17.35825	17.35825	17.35825	17.35825																																																																												
							17.45285	17.45285	17.45285	17.45285	17.45285	17.45285	17.45285	17.45285	17.45285	17.45285	17.45285	17.45285																																																																			
							21.103034	21.103034	21.103034	21.103034																																																																											
							17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197	17.724197																																																																
							17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915	17.786915																																																
							18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481	18.474481																																																															
							17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394	17.669394																																																														
							17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619	17.746619																																																								
							19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267	19.101267																																																											
								26.291491	26.291491	26.291491																																																																											
								18.26026	18.26026	18.26026	18.26026	18.26026	18.26026	18.26026	18.26026	18.26026	18.26026																																																																				
								18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877	18.150877																																																																
								18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243	18.203243																																																								
								19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894	19.273894																																															
								15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539	15.980539																																																										
								18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746	18.064746																																																									
								17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673	17.922673																																																											
									18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748	18.352748																																																	
																																													20.989819	20.989819	20.989819	20.989819	20.989819	20.989819	20.989819	20.989819	20.989819	20.989819																															
																																													20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096	20.472096							
																																													20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116	20.02116																
																																													20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825	20.263825			
																																													17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835	17.979835																							
																																														18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611	18.592611																
																																														18.895201	18.895201																																						
																																														20.737932	20.737932	20.737932	20.737932	20.737932	20.737932	20.737932																																	
																																														19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608	19.560608			
																																														21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849	21.462849																									
																																														16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599	16.3599				
																																														19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643	19.236643														
																																														20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289	20.424289		
																																															20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915	20.876915								
																																															20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662	20.309662																						
																																															19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297	19.984297																			
																																															21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837	21.384837														
																																															25.834044	25.834044	25.834044	25.834044	25.834044	25.834044	25.834044	25.834044																															
